,positions
0,r2qkbnr/ppp1pppp/2np4/8/2PP2b1/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
1,rnbqkbnr/pp3ppp/3pp3/2p5/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
2,rnbqkb1r/ppppp2p/5ppn/8/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
3,rnbqkb1r/pp1ppp1p/5np1/2p5/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 1 4
4,rnbqk2r/pppp1ppp/5n2/4p3/1bPP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 1 4
5,rnbqkbnr/ppp3pp/3p4/4pp2/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 0 4
6,rnbqkb1r/ppppp2p/5ppn/8/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 0 4
7,rnbqkb1r/pppp1p1p/4pnp1/8/2P1P3/2N5/PP1P1PPP/R1BQK1NR w KQkq - 0 4
8,rnbqkb1r/pppppppp/8/2n1P3/8/3P4/PPP2PPP/RNBQK1NR w KQkq - 1 4
9,r1bqk1nr/ppppppbp/2n3p1/8/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 1 4
10,rnb1kbnr/pp1ppp1p/6p1/q1p5/4P3/2P2N2/PP1P1PPP/RN1QKB1R w KQkq - 1 4
11,rnb1kbnr/pp1pqppp/2p5/4p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 4
12,r1bqkb1r/pppppppp/n7/3nP3/8/5N2/PPPP1PPP/RN1QKB1R w KQkq - 1 4
13,r1bqkb1r/pppp1ppp/2n1pn2/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 2 4
14,rnbqkb1r/pp2pppp/3p1n2/2p5/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
15,rn1qkb1r/ppp1pppp/5n2/3p1b2/2PP4/1Q6/PP2PPPP/RNB1K1NR w KQkq - 3 4
16,rnbqkbnr/ppp2p1p/3p2p1/4p3/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 0 4
17,rnbqkbnr/p2p1ppp/1p2p3/2p5/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
18,rnb1kbnr/ppq1pppp/2pp4/8/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 1 4
19,rnbqkbnr/ppp3pp/3p4/4pp2/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 4
20,rn1qkb1r/ppp1pppp/3p1n2/8/4PPb1/2N5/PPPP2PP/R2QKBNR w KQkq - 1 4
21,rnbqkb1r/pp1p1ppp/5n2/2pPp3/2P5/8/PP2PPPP/RNBQK1NR w KQkq e6 0 4
22,rnbqkbnr/pp2pp1p/2p3p1/3pP3/3P4/8/PPP2PPP/RNBQK1NR w KQkq - 0 4
23,rnbqkbnr/pp3ppp/2pp4/4p3/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 0 4
24,rnbqkbnr/pppp3p/5pp1/4p3/2PP4/6P1/PP2PP1P/RN1QKBNR w KQkq - 0 4
25,rn2kbnr/pppqpppp/8/3p1b2/2PP4/1Q6/PP2PPPP/RNB1K1NR w KQkq - 3 4
26,rnbqkbnr/ppp3pp/3p4/4pp2/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
27,rnbqkb1r/pppp1p1p/4pnp1/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 0 4
28,r1bqkbnr/pp1ppppp/n7/2p5/4P3/2P2N2/PP1P1PPP/RN1QKB1R w KQkq - 2 4
29,rnbqkbnr/ppp3pp/4p3/3p1p2/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
30,r2qkbnr/pppnpppp/8/3p1b2/2PP4/1Q6/PP2PPPP/RNB1K1NR w KQkq - 3 4
31,rnbqkbnr/ppp2p1p/3p2p1/4p3/2P5/2N2N2/PP1PPPPP/R1BQK2R w KQkq - 0 4
32,rnbqkbnr/pp3ppp/2pp4/4p3/2P5/2N2N2/PP1PPPPP/R1BQK2R w KQkq - 0 4
33,rnbqkbnr/pp1p1pp1/4p2p/2p5/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
34,rnbqkbnr/1p1p1ppp/p1p1p3/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 0 4
35,rnb1k1nr/ppppqppp/4p3/8/1bPP4/8/PP1BPPPP/RN1QK1NR w KQkq - 3 4
36,rnb1kbnr/pp1pp1pp/1qp5/5pB1/3P4/4P3/PPP2PPP/RN1QK1NR w KQkq - 1 4
37,r1bqkb1r/pppppppp/n7/3nP3/8/5N2/PPPP1PPP/RNBQK2R w KQkq - 1 4
38,rnbqkbnr/pp3ppp/2pp4/4p3/2P1P3/2N5/PP1P1PPP/R1BQK1NR w KQkq - 0 4
39,rn2kbnr/pppqpppp/8/3p1b2/2PP4/1Q6/PP2PPPP/RN2KBNR w KQkq - 3 4
40,rnb1kbnr/pp1pqppp/2p5/4p3/4P3/2N2N2/PPPP1PPP/R2QKB1R w KQkq - 0 4
41,rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 0 4
42,rnbqkb1r/pp1ppp1p/2p2np1/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 0 4
43,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 2 4
44,rn1qkbnr/ppp2ppp/3p4/4p3/2PP2b1/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
45,rnbqkb1r/pp1ppp1p/5np1/2p5/1PP5/5N2/P2PPPPP/RNBQK2R w KQkq - 0 4
46,r1bqkb1r/pppppppp/2n5/4P3/6n1/5N2/PPPP1PPP/RN1QKB1R w KQkq - 1 4
47,rnbqkb1r/ppp2ppp/3p1n2/4p3/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
48,r1bqkbnr/pp1ppppp/n7/2p5/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 2 4
49,rnbqkb1r/pp1ppppp/2p5/3nP3/3P4/8/PPP2PPP/RN1QKBNR w KQkq - 0 4
50,rn1qkb1r/ppp1pppp/3p1n2/5b2/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 2 4
51,rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 1 4
52,rnbqkb1r/pppp1p1p/4pnp1/8/2P1P3/2N5/PP1P1PPP/R2QKBNR w KQkq - 0 4
53,r1bqkbnr/pppp1p1p/2n3p1/4p3/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 1 4
54,rn1qkbnr/1bpppppp/p7/1p6/P2PP3/8/1PP2PPP/RN1QKBNR w KQkq - 1 4
55,rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/8/PP2PPPP/RNBQK1NR w KQkq - 1 4
56,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
57,rnbqkbnr/pp2pp1p/2pp2p1/8/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 0 4
58,rnbqkb1r/pp2pppp/2pp1n2/8/2P1P3/2N5/PP1P1PPP/R1BQK1NR w KQkq - 2 4
59,rnbqkbnr/pppp1ppp/8/3Pp3/2P5/8/PP2PPPP/RNBQK1NR w KQkq - 1 4
60,r1bqkb1r/pppp1ppp/2n1pn2/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 4
61,rnbqkb1r/1pp1pppp/p2p1n2/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 0 4
62,rnbqk1nr/pp1pppbp/2p3p1/8/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 1 4
63,rnb1kbnr/ppqp1ppp/2p5/4p3/2P1P3/5N2/PP1P1PPP/RNBQK2R w KQkq - 2 4
64,rn1qkb1r/pbpppppp/5n2/1p6/3PP3/3B4/PPP2PPP/RN1QK1NR w KQkq - 3 4
65,rnbqk2r/ppppppbp/5np1/8/2PP4/5P2/PP2P1PP/RNBQK1NR w KQkq - 1 4
66,rnbqkbnr/pp2pp1p/2pp2p1/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
67,rnbqk1nr/p1pp1ppp/1p2p3/8/1b1PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 1 4
68,rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
69,r1bqkbnr/ppp2ppp/2n1p3/3p4/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 1 4
70,rnb1kbnr/pp1ppp1p/6p1/q1p5/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 4
71,rnbqkb1r/pp2pppp/2pp1n2/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
72,rnbqk1nr/pp1pppbp/6p1/2pP4/4P3/8/PPP2PPP/RNBQK1NR w KQkq - 1 4
73,rnbqkbnr/pp1p2pp/2p1p3/5p2/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
74,r1bqkb1r/ppp1pppp/2np1n2/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 3 4
75,rnb1kbnr/pp1pp1pp/1qp5/5p2/3P1B2/5N2/PPP1PPPP/RN1QK2R w KQkq - 2 4
76,rnbqkbnr/p2p1ppp/1p2p3/2p5/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 0 4
77,rn1qkb1r/ppp1pppp/3p1n2/5b2/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
